,date,World
0,2020-01-03,0
1,2020-01-04,3
2,2020-01-05,3
3,2020-01-06,6
4,2020-01-07,6
5,2020-01-08,6
6,2020-01-09,7
7,2020-01-10,7
8,2020-01-11,8
9,2020-01-12,50
10,2020-01-13,51
11,2020-01-14,57
12,2020-01-15,57
13,2020-01-16,57
14,2020-01-17,58
15,2020-01-18,62
16,2020-01-19,139
17,2020-01-20,218
18,2020-01-21,311
19,2020-01-22,459
20,2020-01-23,590
21,2020-01-24,865
22,2020-01-25,1338
23,2020-01-26,2035
24,2020-01-27,2825
25,2020-01-28,4600
26,2020-01-29,6089
27,2020-01-30,7845
28,2020-01-31,9858
29,2020-02-01,11970
30,2020-02-02,14575
31,2020-02-03,17411
32,2020-02-04,20666
33,2020-02-05,24600
34,2020-02-06,28318
35,2020-02-07,31474
36,2020-02-08,34879
37,2020-02-09,37541
38,2020-02-10,40535
39,2020-02-11,43019
40,2020-02-12,45054
41,2020-02-13,60214
42,2020-02-14,64290
43,2020-02-15,66949
44,2020-02-16,68986
45,2020-02-17,71045
46,2020-02-18,72955
47,2020-02-19,74761
48,2020-02-20,75188
49,2020-02-21,76209
50,2020-02-22,77273
51,2020-02-23,78248
52,2020-02-24,78777
53,2020-02-25,79616
54,2020-02-26,80473
55,2020-02-27,81555
56,2020-02-28,82929
57,2020-02-29,84695
58,2020-03-01,86494
59,2020-03-02,88160
60,2020-03-03,90475
61,2020-03-04,93456
62,2020-03-05,95959
63,2020-03-06,99606
64,2020-03-07,103287
65,2020-03-08,107009
66,2020-03-09,110919
67,2020-03-10,116021
68,2020-03-11,121837
69,2020-03-12,130017
70,2020-03-13,140171
71,2020-03-14,152212
72,2020-03-15,165498
73,2020-03-16,178360
74,2020-03-17,194947
75,2020-03-18,214545
76,2020-03-19,238584
77,2020-03-20,267422
78,2020-03-21,300238
79,2020-03-22,336253
80,2020-03-23,369934
81,2020-03-24,410990
82,2020-03-25,458546
83,2020-03-26,509917
84,2020-03-27,570428
85,2020-03-28,637396
86,2020-03-29,704094
87,2020-03-30,762376
88,2020-03-31,826493
89,2020-04-01,894328
90,2020-04-02,967907
91,2020-04-03,1044894
92,2020-04-04,1125818
93,2020-04-05,1203810
94,2020-04-06,1274886
95,2020-04-07,1342438
96,2020-04-08,1418797
97,2020-04-09,1498970
98,2020-04-10,1586189
99,2020-04-11,1674040
100,2020-04-12,1756903
101,2020-04-13,1830075
102,2020-04-14,1896562
103,2020-04-15,1967180
104,2020-04-16,2042010
105,2020-04-17,2121267
106,2020-04-18,2204704
107,2020-04-19,2286935
108,2020-04-20,2359519
109,2020-04-21,2431127
110,2020-04-22,2506237
111,2020-04-23,2581846
112,2020-04-24,2663048
113,2020-04-25,2760094
114,2020-04-26,2843624
115,2020-04-27,2923489
116,2020-04-28,2992864
117,2020-04-29,3063696
118,2020-04-30,3140857
119,2020-05-01,3223008
120,2020-05-02,3311883
121,2020-05-03,3399941
122,2020-05-04,3479180
123,2020-05-05,3558452
124,2020-05-06,3636469
125,2020-05-07,3719249
126,2020-05-08,3800234
127,2020-05-09,3900543
128,2020-05-10,3992910
129,2020-05-11,4079723
130,2020-05-12,4152196
131,2020-05-13,4233485
132,2020-05-14,4319585
133,2020-05-15,4406322
134,2020-05-16,4509027
135,2020-05-17,4608074
136,2020-05-18,4704901
137,2020-05-19,4784764
138,2020-05-20,4878117
139,2020-05-21,4983041
140,2020-05-22,5089752
141,2020-05-23,5197868
142,2020-05-24,5305053
143,2020-05-25,5402060
144,2020-05-26,5494925
145,2020-05-27,5584453
146,2020-05-28,5684859
147,2020-05-29,5793743
148,2020-05-30,5913818
149,2020-05-31,6035632
150,2020-06-01,6162980
151,2020-06-02,6272545
152,2020-06-03,6371644
153,2020-06-04,6496626
154,2020-06-05,6623272
155,2020-06-06,6750603
156,2020-06-07,6883319
157,2020-06-08,7008895
158,2020-06-09,7118175
159,2020-06-10,7228670
160,2020-06-11,7360775
161,2020-06-12,7501776
162,2020-06-13,7644381
163,2020-06-14,7789086
164,2020-06-15,7920737
165,2020-06-16,8038418
166,2020-06-17,8164537
167,2020-06-18,8346541
168,2020-06-19,8494290
169,2020-06-20,8640166
170,2020-06-21,8821586
171,2020-06-22,8976170
172,2020-06-23,9106366
173,2020-06-24,9247568
174,2020-06-25,9421568
175,2020-06-26,9600545
176,2020-06-27,9787455
177,2020-06-28,9982454
178,2020-06-29,10161039
179,2020-06-30,10318686
180,2020-07-01,10490762
181,2020-07-02,10676416
182,2020-07-03,10888371
183,2020-07-04,11102491
184,2020-07-05,11317550
185,2020-07-06,11509046
186,2020-07-07,11676645
187,2020-07-08,11854307
188,2020-07-09,12070382
189,2020-07-10,12297520
190,2020-07-11,12521162
191,2020-07-12,12755994
192,2020-07-13,12976086
193,2020-07-14,13170787
194,2020-07-15,13365886
195,2020-07-16,13599820
196,2020-07-17,13846495
197,2020-07-18,14094423
198,2020-07-19,14342491
199,2020-07-20,14574081
200,2020-07-21,14780393
201,2020-07-22,14992510
202,2020-07-23,15244074
203,2020-07-24,15535856
204,2020-07-25,15820384
205,2020-07-26,16095962
206,2020-07-27,16349802
207,2020-07-28,16566677
208,2020-07-29,16797451
209,2020-07-30,17061244
210,2020-07-31,17363526
211,2020-08-01,17655195
212,2020-08-02,17941561
213,2020-08-03,18199279
214,2020-08-04,18424685
215,2020-08-05,18646764
216,2020-08-06,18922031
217,2020-08-07,19215095
218,2020-08-08,19497884
219,2020-08-09,19788258
220,2020-08-10,20051807
221,2020-08-11,20274122
222,2020-08-12,20507394
223,2020-08-13,20803398
224,2020-08-14,21095534
225,2020-08-15,21393374
226,2020-08-16,21681360
227,2020-08-17,21936293
228,2020-08-18,22159832
229,2020-08-19,22396069
230,2020-08-20,22680170
231,2020-08-21,22968702
232,2020-08-22,23247711
233,2020-08-23,23511472
234,2020-08-24,23773747
235,2020-08-25,23999534
236,2020-08-26,24235749
237,2020-08-27,24526134
238,2020-08-28,24817356
239,2020-08-29,25102557
240,2020-08-30,25391218
241,2020-08-31,25667914
242,2020-09-01,25896476
243,2020-09-02,26173102
244,2020-09-03,26465499
245,2020-09-04,26764198
246,2020-09-05,27060729
247,2020-09-06,27379806
248,2020-09-07,27651845
249,2020-09-08,27888368
250,2020-09-09,28134598
251,2020-09-10,28410725
252,2020-09-11,28713007
253,2020-09-12,29017961
254,2020-09-13,29339001
255,2020-09-14,29631232
256,2020-09-15,29887030
257,2020-09-16,30163144
258,2020-09-17,30477174
259,2020-09-18,30798113
260,2020-09-19,31109782
261,2020-09-20,31439599
262,2020-09-21,31733938
263,2020-09-22,31986134
264,2020-09-23,32268822
265,2020-09-24,32595175
266,2020-09-25,32910920
267,2020-09-26,33222451
268,2020-09-27,33545054
269,2020-09-28,33836924
270,2020-09-29,34090264
271,2020-09-30,34376913
272,2020-10-01,34707679
273,2020-10-02,35037910
274,2020-10-03,35357161
275,2020-10-04,35691330
276,2020-10-05,36000046
277,2020-10-06,36271255
278,2020-10-07,36588616
279,2020-10-08,36966044
280,2020-10-09,37322095
281,2020-10-10,37683128
282,2020-10-11,38064545
283,2020-10-12,38401579
284,2020-10-13,38711840
285,2020-10-14,39063179
286,2020-10-15,39448338
287,2020-10-16,39847473
288,2020-10-17,40244019
289,2020-10-18,40674979
290,2020-10-19,41058806
291,2020-10-20,41411171
292,2020-10-21,41850368
293,2020-10-22,42333281
294,2020-10-23,42808168
295,2020-10-24,43270983
296,2020-10-25,43790478
297,2020-10-26,44248211
298,2020-10-27,44658438
299,2020-10-28,45163372
300,2020-10-29,45709837
301,2020-10-30,46244791
302,2020-10-31,46762958
303,2020-11-01,47328618
304,2020-11-02,47819915
305,2020-11-03,48328968
306,2020-11-04,48855120
307,2020-11-05,49426950
308,2020-11-06,50004600
309,2020-11-07,50578747
310,2020-11-08,51172880
311,2020-11-09,51702352
312,2020-11-10,52153628
313,2020-11-11,52722997
314,2020-11-12,53340028
315,2020-11-13,53973616
316,2020-11-14,54590579
317,2020-11-15,55211781
318,2020-11-16,55759416
319,2020-11-17,56246058
320,2020-11-18,56801526
321,2020-11-19,57431192
322,2020-11-20,58058436
323,2020-11-21,58688513
324,2020-11-22,59315911
325,2020-11-23,59858393
326,2020-11-24,60344424
327,2020-11-25,60900801
328,2020-11-26,61510060
329,2020-11-27,62171218
330,2020-11-28,62758255
331,2020-11-29,63345665
332,2020-11-30,63871491
333,2020-12-01,64360286
334,2020-12-02,64911913
335,2020-12-03,65560572
336,2020-12-04,66231316
337,2020-12-05,66896024
338,2020-12-06,67551581
339,2020-12-07,68124171
340,2020-12-08,68646955
341,2020-12-09,69232550
342,2020-12-10,69913627
343,2020-12-11,70596784
344,2020-12-12,71257730
345,2020-12-13,71946626
346,2020-12-14,72535327
347,2020-12-15,73063663
348,2020-12-16,73688115
349,2020-12-17,74358106
350,2020-12-18,75092079
351,2020-12-19,75814085
352,2020-12-20,76496034
353,2020-12-21,77082833
354,2020-12-22,77626851
355,2020-12-23,78236207
356,2020-12-24,78907079
357,2020-12-25,79579063
358,2020-12-26,80177703
359,2020-12-27,80636741
360,2020-12-28,81097321
361,2020-12-29,81600128
362,2020-12-30,82197601
363,2020-12-31,82933536
364,2021-01-01,83676543
365,2021-01-02,84325225
366,2021-01-03,84880239
367,2021-01-04,85456171
368,2021-01-05,86038587
369,2021-01-06,86702198
370,2021-01-07,87500057
371,2021-01-08,88273482
372,2021-01-09,89076521
373,2021-01-10,89863537
374,2021-01-11,90544794
375,2021-01-12,91150383
376,2021-01-13,91815859
377,2021-01-14,92552476
378,2021-01-15,93277861
379,2021-01-16,93983312
380,2021-01-17,94707386
381,2021-01-18,95313486
382,2021-01-19,95850249
383,2021-01-20,96419635
384,2021-01-21,97051835
385,2021-01-22,97706800
386,2021-01-23,98322582
387,2021-01-24,98943062
388,2021-01-25,99470231
389,2021-01-26,99911513
390,2021-01-27,100426422
391,2021-01-28,101011002
392,2021-01-29,101595889
393,2021-01-30,102144640
394,2021-01-31,102696441
395,2021-02-01,103159668
396,2021-02-02,103544071
397,2021-02-03,103990378
398,2021-02-04,104490166
399,2021-02-05,104963673
400,2021-02-06,105429175
401,2021-02-07,105882768
402,2021-02-08,106270422
403,2021-02-09,106604215
404,2021-02-10,106966166
405,2021-02-11,107383034
406,2021-02-12,107809527
407,2021-02-13,108218106
408,2021-02-14,108610584
409,2021-02-15,108942424
410,2021-02-16,109238580
411,2021-02-17,109579039
412,2021-02-18,109956786
413,2021-02-19,110340455
414,2021-02-20,110711790
415,2021-02-21,111089463
416,2021-02-22,111434949
417,2021-02-23,111742850
418,2021-02-24,112093959
419,2021-02-25,112519631
420,2021-02-26,112940622
421,2021-02-27,113348618
422,2021-02-28,113748831
423,2021-03-01,114106131
424,2021-03-02,114418585
425,2021-03-03,114785599
426,2021-03-04,115208728
427,2021-03-05,115640508
428,2021-03-06,116060212
429,2021-03-07,116486206
430,2021-03-08,116854011
431,2021-03-09,117222329
432,2021-03-10,117596452
433,2021-03-11,118054199
434,2021-03-12,118524335
435,2021-03-13,118982874
436,2021-03-14,119456867
437,2021-03-15,119866403
438,2021-03-16,120241990
439,2021-03-17,120669239
440,2021-03-18,121204682
441,2021-03-19,121741725
442,2021-03-20,122265408
443,2021-03-21,122797673
444,2021-03-22,123279296
445,2021-03-23,123719916
446,2021-03-24,124223848
447,2021-03-25,124821800
448,2021-03-26,125436911
449,2021-03-27,126026203
450,2021-03-28,126627690
451,2021-03-29,127173321
452,2021-03-30,127659311
453,2021-03-31,128198536
454,2021-04-01,128844748
455,2021-04-02,129495465
456,2021-04-03,130130704
457,2021-04-04,130700531
458,2021-04-05,131261512
459,2021-04-06,131762557
460,2021-04-07,132336282
461,2021-04-08,133066170
462,2021-04-09,133819642
463,2021-04-10,134545046
464,2021-04-11,135290597
465,2021-04-12,135972548
466,2021-04-13,136593105
467,2021-04-14,137297621
468,2021-04-15,138106208
469,2021-04-16,138907181
470,2021-04-17,139695715
471,2021-04-18,140517129
472,2021-04-19,141293542
473,2021-04-20,142001187
474,2021-04-21,142766034
475,2021-04-22,143651640
476,2021-04-23,144539476
477,2021-04-24,145369220
478,2021-04-25,146210196
479,2021-04-26,147002745
480,2021-04-27,147707560
481,2021-04-28,148475097
482,2021-04-29,149354148
483,2021-04-30,150221155
484,2021-05-01,151065200
485,2021-05-02,151889722
486,2021-05-03,152647189
487,2021-05-04,153331126
488,2021-05-05,154067002
489,2021-05-06,154909820
490,2021-05-07,155744575
491,2021-05-08,156550830
492,2021-05-09,157356006
493,2021-05-10,158072509
494,2021-05-11,158719092
495,2021-05-12,159364988
496,2021-05-13,160120316
497,2021-05-14,160841576
498,2021-05-15,161518390
499,2021-05-16,162182313
500,2021-05-17,162804870
501,2021-05-18,163359824
502,2021-05-19,163931424
503,2021-05-20,164579381
504,2021-05-21,165211871
505,2021-05-22,165837484
506,2021-05-23,166409893
507,2021-05-24,166938087
508,2021-05-25,167382689
509,2021-05-26,167865913
510,2021-05-27,168435868
511,2021-05-28,168990087
512,2021-05-29,169499797
513,2021-05-30,169959170
514,2021-05-31,170423862
515,2021-06-01,170808901
516,2021-06-02,171209491
517,2021-06-03,171671109
518,2021-06-04,172150631
519,2021-06-05,172593340
520,2021-06-06,172974463
521,2021-06-07,173357731
522,2021-06-08,173681295
523,2021-06-09,174028290
524,2021-06-10,174410765
525,2021-06-11,174836779
526,2021-06-12,175242707
527,2021-06-13,175630128
528,2021-06-14,175996191
529,2021-06-15,176302686
530,2021-06-16,176620444
531,2021-06-17,177006937
532,2021-06-18,177415863
533,2021-06-19,177795870
534,2021-06-20,178174473
535,2021-06-21,178522784
536,2021-06-22,178830206
537,2021-06-23,179155536
538,2021-06-24,179570180
539,2021-06-25,180010931
540,2021-06-26,180409982
541,2021-06-27,180801480
542,2021-06-28,181174298
543,2021-06-29,181500138
544,2021-06-30,181857669
545,2021-07-01,182280805
546,2021-07-02,182690526
547,2021-07-03,183125141
548,2021-07-04,183544805
549,2021-07-05,183936051
550,2021-07-06,184287552
551,2021-07-07,184691046
552,2021-07-08,185179570
553,2021-07-09,185673138
554,2021-07-10,186316588
555,2021-07-11,186792512
556,2021-07-12,187238064
557,2021-07-13,187647921
558,2021-07-14,188138839
559,2021-07-15,188690468
560,2021-07-16,189265465
561,2021-07-17,189838141
562,2021-07-18,190378805
563,2021-07-19,190854840
564,2021-07-20,191297196
565,2021-07-21,191814872
566,2021-07-22,192361493
567,2021-07-23,192934060
568,2021-07-24,193519148
569,2021-07-25,194141678
570,2021-07-26,194639830
571,2021-07-27,195105670
572,2021-07-28,195705816
573,2021-07-29,196364427
574,2021-07-30,197025549
575,2021-07-31,197666408
576,2021-08-01,198281601
577,2021-08-02,198826731
578,2021-08-03,199331657
579,2021-08-04,199956771
580,2021-08-05,200633880
581,2021-08-06,201361137
582,2021-08-07,202047415
583,2021-08-08,202698789
584,2021-08-09,203295698
585,2021-08-10,203821401
586,2021-08-11,204438931
587,2021-08-12,205136976
588,2021-08-13,205847028
589,2021-08-14,206561379
590,2021-08-15,207212950
591,2021-08-16,207802976
592,2021-08-17,208346201
593,2021-08-18,208973644
594,2021-08-19,209709600
595,2021-08-20,210439762
596,2021-08-21,211147265
597,2021-08-22,211803223
598,2021-08-23,212375400
599,2021-08-24,212922410
600,2021-08-25,213568375
